,,,Southern,Northern
,Southern,Northern,7 sample,7 sample
Sample Date,(copies/mL),(copies/mL),avg,avg
3/3/2020,,7,,
3/6/2020,,12,,
3/7/2020,,2,,
3/8/2020,,33,,
3/9/2020,22,5,,
3/10/2020,,12,,
3/11/2020,15,22,18,14
3/12/2020,,5,18,13
3/13/2020,,12,18,13
3/14/2020,18,16,18,15
3/15/2020,21,23,19,14
3/16/2020,36,31,23,17
3/17/2020,28,32,24,20
3/18/2020,15,16,24,19
3/22/2020,90,154,35,40
3/23/2020,,140,35,59
3/24/2020,22,87,35,69
3/25/2020,,17,38,68
3/26/2020,156,38,62,69
3/29/2020,181,144,93,85
3/31/2020,94,147,109,104
4/2/2020,142,187,119,108
4/6/2020,296,366,149,141
4/8/2020,361,324,205,174
4/13/2020,312,343,220,221
4/14/2020,,380,231,270
4/15/2020,98,181,217,275
4/16/2020,108,246,219,289
4/21/2020,226,345,234,312
4/22/2020,118,111,204,276
4/26/2020,109,,162,268
4/27/2020,70,211,121,246
4/28/2020,,155,121,208
4/30/2020,,83,126,192
5/2/2020,146,80,134,164
5/4/2020,74,75,103,119
5/5/2020,30,15,86,103
5/10/2020,78,,79,103
5/19/2020,,62,82,79
5/20/2020,39,38,73,59
5/21/2020,139,75,84,58
5/22/2020,53,44,69,52
5/23/2020,49,33,65,45
5/24/2020,47,29,67,47

5/25/2020,60,25,64,44
5/26/2020,63,39,64,40
5/27/2020,35,31,64,39
5/28/2020,19,31,46,33
5/29/2020,57,,47,31
5/30/2020,55,33,48,31
5/31/2020,53,40,49,33
6/1/2020,37,45,45,36
6/2/2020,25,29,40,35
6/3/2020,27,22,39,33
6/4/2020,36,32,41,33
6/5/2020,14,34,35,34
6/6/2020,22,17,30,31
6/7/2020,22,16,26,28
6/8/2020,20,53,24,29
6/9/2020,31,24,24,28
6/10/2020,8,26,22,29
6/11/2020,22,31,20,29
6/12/2020,18,29,20,28
6/13/2020,14,28,19,30
6/14/2020,11,27,18,31
6/15/2020,13,22,17,27
6/16/2020,22,14,15,25
6/17/2020,18,25,17,25
6/18/2020,11,34,15,26
6/19/2020,15,26,15,25
6/20/2020,22,24,16,25
6/21/2020,25,21,18,24
6/22/2020,17,6,18,21
6/23/2020,12,10,17,21
6/24/2020,8,14,16,19
6/25/2020,9,13,15,16
6/26/2020,20,14,16,15
6/27/2020,8,18,14,14
6/28/2020,17,14,13,13
6/29/2020,12,23,12,15
6/30/2020,17,27,13,18
7/1/2020,47,28,19,20
7/2/2020,21,40,20,23
7/3/2020,32,15,22,23
7/4/2020,12,14,23,23
7/5/2020,18,31,23,25
7/6/2020,24,35,25,27
7/7/2020,14,30,24,28
7/8/2020,28,22,21,27
7/9/2020,12,33,20,26
7/10/2020,,22,18,27

7/11/2020,31,42,21,31
7/12/2020,24,30,22,31
7/13/2020,17,30,21,30
7/14/2020,33,24,24,29
7/15/2020,24,24,23,29
7/16/2020,22,38,25,30
7/17/2020,39,26,27,30
7/18/2020,24,36,26,30
7/19/2020,27,16,27,28
7/20/2020,10,,26,27
7/21/2020,28,18,25,26
7/22/2020,12,19,23,25
7/23/2020,21,47,23,27
7/24/2020,19,33,20,28
7/25/2020,12,27,18,27
7/26/2020,25,25,18,28
7/28/2020,24,21,19,29
7/30/2020,24,66,21,36
8/2/2020,90,89,32,44
8/3/2020,61,,39,46
8/4/2020,54,35,46,47
8/5/2020,22,39,46,50
8/6/2020,17,34,44,53
8/9/2020,35,52,46,50
8/11/2020,22,48,35,42
8/13/2020,15,38,28,41
8/16/2020,22,37,22,41
8/18/2020,42,73,26,47
8/20/2020,29,50,28,50
8/23/2020,18,32,25,46
8/25/2020,27,41,25,45
8/27/2020,32,50,28,47
8/30/2020,40,52,31,50
9/1/2020,,,,
9/3/2020,,,,
9/7/2020,,,,
9/8/2020,,,,
9/9/2020,,,,
9/10/2020,,,,
9/11/2020,,,,
9/12/2020,,,,
9/13/2020,,,,
9/14/2020,,,,
9/15/2020,,,,
9/16/2020,,,,
9/17/2020,,,,
9/18/2020,,,,

9/19/2020
9/20/2020
9/21/2020
9/22/2020
9/23/2020
